,Impulsivity,Reckless_behaviour,Blurting,Interrupting,Talkative,Difficulty_delaying_gratification,Difficulty_waiting_turn,Misjudged_time,Inattention,Fidgety,Restless,Difficulty_concentrating,Needed_deadlines,Irritable,Impatient,Stubborn,Bored,Difficulty_sleeping,Checking_for_mistakes,Difficult_to_touch_rubbish,Contamination_concerns,Performed_rituals,Compulsions_1,Checking,Try_to_prevent_harm,Checking_so_nothing_terrible_would_happen,Rituals_for_protection,Fear_of_mistakes,Perfectionism,Responsibility_to_ensure_everything_was_in_order,Very_strict_with_self,One_right_way_to_do_things,Upsetting_thoughts,Obsessive_thoughts,Compulsions_2,Fear_of_acting_on_compulsions,Guilt_about_obsessions,Thoughts_would_harm_other_people_unintentionally,Having_upsetting_thought_made_it_more_likely_to_happen,Repeat_words_to_stop_obsessions,Need_for_order,Strict_routine_doing_ordinary_things,Do_everything_exactly_right_leaving_home,Got_stuck_doing_routine_behaviours,Suicidal_ideation,Intrusive_thoughts_about_self_harm,Suicidal_ideation_and_plans,Told_someone_about_suicidality,Fear_of_fear,Sought_help_for_panic,Rush_of_fear_and_related_impairment,Fear_of_specific_situations,Claustrophobia,Safety_zone,Thought_might_be_dying,Afraid_of_physical_symptoms,Frightened_by_nausea,Fear_of_loss_of_control,Disconnected_or_detached,Racing_or_pounding_heart,Trembling,Feeling_anxious_,Fear,Avoidance_of_social_situations_1,Avoid_disagreeing_with_others,Concerns_about_being_observed_public_speaking,Tension_headaches_before_social_situations,Angry,Bad_temper,Guilt_about_anger,Felt_like_breaking_things,Anger_fixation,Resentful,Guilt_and_low_self_worth,Envy,Hostile,Loss_of_control_of_drinking,Using_larger_amounts_of_alcohol_than_intended,Fast_drinking_for_quick_effect,Drank_for_negative_affect,Drank_because_nothing_to_do,Drank_because_angry_with_self,Drank_because_lonely,Drank_because_annoyed,Drank_because_tense,Drank_because_of_physical_pain,Large_amounts_of_time_drinking,Used_drugs_to_get_high,Time_recovering_from_drugs,Drank_because_deserved_it,Drank_to_unwind,Depressed_mood,Felt__attacked,Paranoia__people_are_against_them_,Thoughts_of_people_trying_to_upset_deliberately,Olfactory_hallucination,Sense_of_unreality,Sense_of_danger_or_dread,Something_seriously_wrong_with_body,Lights_or_colours_seemed_brighter,Paranormal_experiences,Thought_insertion,Doubted_dreams_were_the_product_of_own_mind,Thought_broadcasting,Someone_something_playing_games_with_mind,Felt_part_of_body_did_not_belong,Paranoia__people_want_to_hurt_them,Paranoia__being_followed_or_observed,Auditory_hallucinations,Mistook_noises_for_voices,Ideas_of_reference,Special_powers,Felt_was_very_special,Had_a_sixth_sense,Heard_voices,Anxious_arousal_due_to_trauma,Dysphoria_due_to_trauma,Avoidance_of_cues_and_emotional_detachment,Self_blame_for_trauma,Trauma_amnesia,Reexperiencing_trauma,Social_interaction_concerns,Role_and_relationship_impairment_from_drug_use,Relationship_friction_around_drug_use,Urge_to_use_drugs,Money_problems_due_to_drug_use,Used_drugs_in_hazardous_situations,Prioritising_drug_use,Dependence_on_drugs,Withdrawal_from_drugs,Had_to_keep_taking_drugs_once_started,Used_drugs_after_deciding_not_to,Tolerance_to_drugs,More_drugs_than_intended_and_despite_psychological_problems,Suicidal_plans,Hopelessness,Suicidal_thoughts__better_off_dead,Unafraid_of_dying,Worry_about_panic,Fear_of_leaving_the_house_alone,Nervous_or_anxious,Panic_episode,Afraid_would_have_a_heart_attack_stroke_suffocate_or_die,Chest_pain,Felt_could_not_breathe,Dizzy_or_lightheaded,Feared_fainting,Avoidance_of_social_situations_2,Avoidance_of_crowded_places,Fear_of_negative_evaluation,Fear_of_being_centre_of_attention,Drinking_large_amounts,Felt_should_cut_down_drinking,Anhedonia,Felt_like_a_failure
Drank_because_lonely,0.223403748,0.295017819,0.190699424,0.136547894,0.150466257,0.219647821,0.171595151,0.138206423,0.224795612,0.197844395,0.182243737,0.227713553,0.148363357,0.219818987,0.208963349,0.175054859,0.232215012,0.205530152,0.169284676,0.089797532,0.095182085,0.13465273,0.160510927,0.152099723,0.112085775,0.119253475,0.156803117,0.201657303,0.147117473,0.13506774,0.151136569,0.149392797,0.221085731,0.175174257,0.180787726,0.192539153,0.178821522,0.148600225,0.156636948,0.161694295,0.127347388,0.147294221,0.162203019,0.147711852,0.22847533,0.180672328,0.237668932,0.147703973,0.200676197,0.113402799,0.230079519,0.223483105,0.156586983,0.151230165,0.169825202,0.174274747,0.144869034,0.213675409,0.202411395,0.204829713,0.193649696,0.258157601,0.260528859,0.239824156,0.182444594,0.235444382,0.160262073,0.225559235,0.192940954,0.163408104,0.186597389,0.219809897,0.248876919,0.275171143,0.208187976,0.156280854,0.556480726,0.520112188,0.463026513,0.670179219,0.621095673,0.566871772,1,0.509183739,0.474094885,0.334923865,0.432844529,0.207827899,0.254361477,0.359575324,0.498105761,0.327466104,0.158637653,0.224389377,0.15468154,0.06629074,0.165925174,0.158523926,0.180644912,0.109269148,0.177375147,0.134629142,0.133426881,0.173784639,0.15674462,0.113189447,0.160291228,0.16162477,0.105037777,0.106209274,0.117580105,0.163362586,0.156508809,0.117037926,0.130894522,0.201194023,0.235097412,0.231900177,0.209956848,0.210467589,0.213694816,0.229114077,0.282545485,0.138459107,0.198155109,0.148809371,0.159254609,0.191912841,0.196862307,0.136708762,0.192155165,0.208258271,0.176531299,0.215402677,0.210106618,0.308027613,0.286734259,0.156244212,0.172694032,0.153187414,0.196005151,0.204707017,0.165120064,0.162525212,0.155257867,0.153377114,0.145388478,0.209520867,0.19597105,0.218961742,0.212589819,0.480085521,0.503744218,0.305264619,0.268866719
Drank_because_annoyed,0.244958508,0.308155691,0.251892705,0.186306244,0.14317996,0.234059261,0.225142153,0.165741967,0.252370517,0.236581916,0.225455302,0.244844172,0.152711923,0.319828356,0.288294562,0.249358931,0.238948724,0.197248109,0.178578918,0.130251725,0.12161689,0.145961511,0.160914357,0.126735516,0.134023394,0.128685158,0.154614647,0.234727538,0.179105558,0.187303225,0.173114139,0.169721664,0.261770939,0.211019276,0.19977998,0.249020558,0.22861249,0.167512229,0.19299182,0.200388811,0.193711545,0.163194283,0.158784449,0.132316528,0.177866938,0.177516831,0.191699453,0.131172532,0.200419067,0.154631671,0.229998626,0.198511185,0.154525255,0.15389875,0.175018826,0.182454591,0.141663343,0.267701771,0.205385099,0.213902011,0.195204464,0.269106707,0.247326695,0.221004934,0.161658403,0.214893701,0.164532532,0.323161069,0.290277037,0.226826357,0.254776605,0.316214932,0.320842646,0.24985535,0.199042313,0.2432959,0.560337829,0.507447617,0.486140253,0.661965234,0.556771405,0.605749775,0.509183739,1,0.639390111,0.390705478,0.452836864,0.179754426,0.212510266,0.425874451,0.49715757,0.260433915,0.1465035,0.199628628,0.155605001,0.095525828,0.155105442,0.170568111,0.168556363,0.117154896,0.177843105,0.142485815,0.168472607,0.165489824,0.13414936,0.142329437,0.150231297,0.142784307,0.104568869,0.100424294,0.115349688,0.16214418,0.135075276,0.121803874,0.107931739,0.207009303,0.21880679,0.218137903,0.222902032,0.196607773,0.217155032,0.201032198,0.22403829,0.141606987,0.197278495,0.132291843,0.11935194,0.14716736,0.170720197,0.124448718,0.186550096,0.137947444,0.144756204,0.199181901,0.163493958,0.233435851,0.213108165,0.111693664,0.17377233,0.152317883,0.197124574,0.204521195,0.156387595,0.182232444,0.165621423,0.161292465,0.130458313,0.194723685,0.178622994,0.204992366,0.190051882,0.507427438,0.496647631,0.248088556,0.222833684
Drank_because_tense,0.235121452,0.297965961,0.248202284,0.196818053,0.157445919,0.264737868,0.231971168,0.198692196,0.300296894,0.261007803,0.22969705,0.303517122,0.184348516,0.309115492,0.293896241,0.235281614,0.231755193,0.244758211,0.223356987,0.140296158,0.129302628,0.157322058,0.193213795,0.151007943,0.182122259,0.142858308,0.151428988,0.268356475,0.211763701,0.187229924,0.214661379,0.187138347,0.269545841,0.243366411,0.210578048,0.231253942,0.235062575,0.168684231,0.21208687,0.220502673,0.201055677,0.176343797,0.173554515,0.171691368,0.192179467,0.190853192,0.184912355,0.14002878,0.260245097,0.196640367,0.32488582,0.270124214,0.191069599,0.198272348,0.23955583,0.234051611,0.197979176,0.300408367,0.265774838,0.274942466,0.233782092,0.366360094,0.325366676,0.284887742,0.241253573,0.302973546,0.221315463,0.294565896,0.242576994,0.229889169,0.215277454,0.286353134,0.29488665,0.303315197,0.240060778,0.246251854,0.561179864,0.538077347,0.493113961,0.612099575,0.517118052,0.517408397,0.474094885,0.639390111,1,0.383757654,0.417762989,0.201156587,0.205814482,0.392404569,0.495671955,0.313793528,0.158285956,0.2135133,0.156637718,0.089031909,0.169272396,0.213180765,0.190827884,0.128300597,0.17759262,0.140240677,0.126749157,0.191756476,0.10974274,0.148471716,0.163626366,0.171645963,0.105809183,0.110106497,0.09691375,0.132514303,0.132604772,0.098741139,0.126765286,0.238765894,0.234248395,0.241179889,0.216304793,0.207730385,0.242984897,0.28785054,0.226368058,0.136392381,0.192519076,0.086390332,0.101452787,0.137085987,0.174505495,0.112165342,0.155843306,0.156908821,0.138896281,0.229760447,0.154406044,0.271803169,0.244449308,0.084996898,0.224472749,0.223131833,0.318495038,0.283060927,0.202878501,0.215336651,0.245722418,0.209529171,0.169805937,0.254469543,0.242306853,0.292238162,0.27344961,0.506814208,0.516003018,0.283042558,0.281370205
Drank_because_of_physical_pain,0.176456748,0.242377624,0.173020912,0.129769551,0.132511117,0.165160671,0.128868143,0.11816425,0.184880764,0.163722282,0.156682362,0.172403986,0.095300279,0.171948745,0.156440855,0.12034535,0.155526536,0.201011362,0.156247521,0.0865993,0.123752416,0.117130965,0.146981718,0.124268215,0.13359901,0.132184306,0.130169673,0.147136527,0.133802607,0.130342585,0.113900226,0.122603549,0.169826656,0.161890949,0.17878326,0.182734588,0.162056095,0.166575909,0.134561696,0.159372521,0.110999272,0.154751207,0.147852496,0.129959477,0.145472591,0.158981841,0.18316927,0.159655971,0.208990088,0.1478817,0.186854892,0.20891653,0.178205541,0.160333325,0.21251166,0.203535668,0.171490906,0.192832872,0.181013522,0.194245807,0.188759895,0.196511785,0.207092157,0.178545339,0.12847246,0.163209719,0.176518481,0.16400511,0.153799357,0.122209463,0.144600272,0.166773601,0.164324051,0.177034954,0.08037608,0.138169766,0.356039371,0.340708656,0.328638323,0.400056503,0.329327563,0.399753921,0.334923865,0.390705478,0.383757654,1,0.330488744,0.120714837,0.127960571,0.294490807,0.348710616,0.197491119,0.139478877,0.153512316,0.118668363,0.106329363,0.172153199,0.173503635,0.218470474,0.13386465,0.158866902,0.147988836,0.11997896,0.186266619,0.123459402,0.137037268,0.162735214,0.148209194,0.109284992,0.134261914,0.094316019,0.103190916,0.124753138,0.135818733,0.128818504,0.231812919,0.232799499,0.233138221,0.206345232,0.204238309,0.230152157,0.160758215,0.136311434,0.077406199,0.124213032,0.064661812,0.116994973,0.131409497,0.133921771,0.095508085,0.135835,0.093063694,0.075238113,0.160672613,0.181531226,0.200824727,0.20722279,0.134768846,0.184478179,0.199533453,0.166807556,0.181753774,0.176533559,0.182259465,0.182538919,0.160118082,0.154969408,0.15793221,0.176437167,0.137589364,0.141112658,0.326914914,0.34864259,0.193960228,0.177100585
Large_amounts_of_time_drinking,0.239548982,0.319262212,0.191845883,0.124257942,0.11384261,0.176396329,0.1681237,0.127769118,0.197255629,0.167679232,0.167820188,0.18197244,0.101457589,0.190219967,0.187794389,0.19167181,0.199990018,0.165276366,0.143077846,0.097508838,0.092249418,0.136707077,0.169329245,0.128664942,0.114710937,0.100620687,0.127856777,0.165403069,0.136929082,0.154794987,0.138644368,0.125455367,0.197694347,0.187404415,0.199097835,0.187782237,0.165867827,0.16664499,0.157287249,0.182220208,0.121027296,0.162718752,0.139232382,0.138922225,0.185488561,0.188824626,0.19817545,0.13573506,0.167642151,0.125019072,0.171690682,0.172148316,0.123493842,0.124231602,0.17610603,0.144919285,0.152246317,0.221035487,0.174693686,0.166412643,0.160073936,0.184141618,0.176889526,0.145852515,0.124004511,0.163516427,0.111559079,0.202724013,0.189320147,0.116725741,0.178007635,0.203396843,0.220834634,0.184511587,0.134258276,0.160846615,0.54642417,0.547123964,0.517466485,0.443981104,0.507573137,0.422983694,0.432844529,0.452836864,0.417762989,0.330488744,1,0.286524133,0.301159826,0.38118118,0.426519246,0.209232836,0.139812695,0.199457605,0.146627979,0.094246664,0.187013916,0.147987752,0.138614539,0.130379722,0.165829637,0.147066282,0.162677212,0.1735992,0.134352023,0.114409884,0.167625702,0.167891863,0.128769917,0.118210751,0.120893767,0.150522901,0.168118112,0.106642098,0.143646649,0.159615002,0.178950642,0.168493108,0.172609101,0.150541176,0.168054317,0.145851589,0.292767951,0.180974133,0.264316544,0.205714934,0.196827301,0.22616606,0.189251691,0.163884113,0.198555076,0.177598816,0.183952993,0.256249118,0.195158433,0.20897086,0.200781519,0.122419619,0.148962258,0.142741363,0.139608362,0.170498496,0.13242419,0.1523876,0.16282338,0.122471794,0.123209699,0.131454077,0.146825758,0.162176433,0.139004022,0.571347565,0.488400685,0.198686606,0.181547693
Used_drugs_to_get_high,0.262524797,0.31843162,0.264030544,0.15315476,0.17222823,0.176334435,0.152069973,0.206337749,0.253738256,0.179676989,0.179880856,0.242746183,0.10859776,0.248592266,0.224622194,0.205439581,0.180666583,0.181486292,0.188172947,0.133834941,0.163450387,0.151544164,0.189520575,0.117624618,0.163748162,0.098723899,0.166436571,0.242909905,0.184568016,0.175065771,0.179361084,0.143027162,0.249247139,0.240559106,0.126266012,0.258803329,0.20074212,0.187316565,0.240573948,0.170258909,0.182007514,0.190980011,0.167078934,0.150650849,0.231754264,0.248876062,0.246866081,0.222324543,0.265446998,0.173649359,0.2856765,0.287282461,0.139169602,0.203803354,0.196929955,0.223629097,0.167389234,0.296351749,0.288533216,0.241210642,0.223261156,0.249777071,0.218219496,0.282888284,0.191958242,0.251773195,0.188317521,0.207829192,0.226850123,0.130684707,0.262475802,0.235337187,0.214919724,0.266160932,0.170289817,0.203015339,0.210038489,0.252813133,0.254981321,0.155012535,0.262397573,0.2074763,0.207827899,0.179754426,0.201156587,0.120714837,0.286524133,1,0.432702067,0.159877239,0.135613427,0.290257437,0.207198418,0.289202018,0.16246104,0.092780353,0.226451642,0.17874989,0.233397212,0.222924187,0.283784338,0.184062223,0.131530924,0.242725022,0.193006542,0.167471736,0.269658701,0.276776306,0.268060325,0.240572683,0.193224869,0.210014959,0.27859984,0.204376434,0.266947114,0.310959857,0.326429672,0.305699405,0.268292793,0.21116759,0.306535224,0.270356501,0.687471528,0.575266415,0.710144026,0.596883697,0.494012216,0.728847729,0.641312331,0.492461152,0.493591002,0.604288556,0.630113814,0.656347919,0.223561858,0.295915891,0.279425786,0.252093319,0.204995059,0.20128248,0.226877272,0.231504086,0.193480104,0.232415137,0.139245086,0.156374969,0.144114265,0.24349855,0.231436897,0.226671655,0.228138909,0.253622771,0.136804054,0.272427821,0.246268841
Time_recovering_from_drugs,0.265387996,0.326942574,0.236594473,0.15787434,0.16436828,0.227985036,0.180556019,0.228213426,0.262275184,0.182757368,0.181827432,0.270400651,0.144391739,0.189264106,0.17965456,0.204515624,0.245431207,0.17853502,0.165440419,0.156836342,0.105179909,0.081370523,0.161696898,0.096858914,0.101815251,0.049150054,0.119339798,0.220286089,0.117450277,0.088614089,0.121047634,0.075819404,0.204711105,0.188829667,0.10816141,0.236665054,0.175503277,0.241184668,0.192362427,0.121380309,0.102191402,0.146920179,0.15503742,0.09372989,0.209225546,0.237071612,0.232218318,0.217296147,0.196425546,0.139525874,0.230733249,0.189165325,0.095520018,0.126464134,0.17654553,0.157483998,0.191465625,0.25798532,0.217279494,0.223601243,0.191730904,0.193648002,0.176073659,0.17636764,0.128576994,0.190810708,0.139359523,0.189546196,0.139266633,0.121926271,0.209715075,0.189125944,0.214391927,0.249032389,0.163391277,0.146511595,0.211174848,0.266518704,0.252834115,0.220198798,0.295921044,0.234608016,0.254361477,0.212510266,0.205814482,0.127960571,0.301159826,0.432702067,1,0.147917216,0.128720921,0.234289171,0.159889929,0.232005198,0.154167668,0.116305839,0.218844979,0.168400816,0.173563298,0.194363761,0.227211566,0.186582856,0.125284636,0.203179125,0.181570073,0.21676535,0.176725958,0.277709163,0.160354313,0.18369031,0.201051396,0.196906266,0.150824544,0.115215382,0.218032122,0.188595823,0.20556642,0.206877972,0.232522503,0.207458648,0.197335319,0.172827206,0.608380385,0.524213509,0.464626003,0.525565716,0.369238235,0.496826817,0.444732816,0.455910706,0.509483332,0.503043362,0.432230515,0.541912953,0.22344551,0.213922771,0.226173457,0.153936845,0.16151124,0.132307069,0.124380957,0.173794267,0.12336992,0.149815773,0.150374638,0.178835907,0.188997012,0.173778665,0.114481199,0.181078962,0.166651273,0.2865287,0.162239637,0.231486698,0.239767193
Drank_because_deserved_it,0.174399536,0.23038245,0.165500516,0.14458662,0.146711019,0.17531749,0.172535253,0.117306705,0.188210868,0.137495113,0.159791953,0.163626931,0.123148765,0.195378639,0.160168909,0.179726586,0.187018964,0.128265484,0.13870239,0.098548987,0.10201244,0.104305797,0.130141819,0.104787091,0.075451958,0.101973866,0.120612523,0.144347927,0.132992683,0.124594464,0.145757142,0.134386155,0.161687914,0.140608012,0.139148832,0.171289975,0.137721943,0.149644012,0.127961247,0.151718636,0.114160874,0.119338055,0.087799194,0.108997352,0.130658631,0.123693669,0.157631811,0.099109251,0.110011565,0.060371094,0.136890296,0.119373817,0.080130413,0.08479081,0.144192777,0.114585892,0.113784393,0.165050647,0.176526998,0.13376683,0.126068848,0.160471646,0.149408845,0.134391565,0.093416022,0.146630795,0.105581998,0.188214745,0.177068608,0.123706163,0.156982416,0.187583806,0.202697258,0.164164385,0.144902098,0.177879226,0.463523804,0.452266045,0.384245794,0.417043218,0.414553169,0.371233132,0.359575324,0.425874451,0.392404569,0.294490807,0.38118118,0.159877239,0.147917216,1,0.53776046,0.175125867,0.14061274,0.181403131,0.111424597,0.074906853,0.120709624,0.128366655,0.134844469,0.097596923,0.16512005,0.129618372,0.112428145,0.118923932,0.106777043,0.119554982,0.135237329,0.152900751,0.086577657,0.08575827,0.100487904,0.121142655,0.150713084,0.101631318,0.088725496,0.117316005,0.119108972,0.125736708,0.114901755,0.097751401,0.125420777,0.124774246,0.147255841,0.098342854,0.148693508,0.085849493,0.04182276,0.13348445,0.101563715,0.066478846,0.131496093,0.074574799,0.120110251,0.126900883,0.131730282,0.155242724,0.154076416,0.081504729,0.110010429,0.085771669,0.123025282,0.134390806,0.143194036,0.11494666,0.094959356,0.110395402,0.098075656,0.108211,0.119213092,0.140580646,0.126214808,0.426538982,0.420573873,0.158109169,0.146016112
Drank_to_unwind,0.165507344,0.180205344,0.124621195,0.115768579,0.094988763,0.120733403,0.103759872,0.062910211,0.127935379,0.098697648,0.115091663,0.108527774,0.107431433,0.125553261,0.120908672,0.113267503,0.120064622,0.095892443,0.09660341,0.02722496,0.036863607,0.066172412,0.071110964,0.071369518,0.057925986,0.039511646,0.071835222,0.082243248,0.087444695,0.102685296,0.070038304,0.090640095,0.080757465,0.084386217,0.089778914,0.095616556,0.078121211,0.090104051,0.078094287,0.092083528,0.054503177,0.06370397,0.056485694,0.059466394,0.078278816,0.053795192,0.099109221,0.069752075,0.050159249,0.009199723,0.069278064,0.060223063,0.054807932,0.030749495,0.069933463,0.032760048,0.044353004,0.085837161,0.070924916,0.084918562,0.068981675,0.104949369,0.092193533,0.105643297,0.076392924,0.088204726,0.026681821,0.100505509,0.10096134,0.048136236,0.060989887,0.117344501,0.119513171,0.100633001,0.08058614,0.141604709,0.563544037,0.555223378,0.379981601,0.533784014,0.521722231,0.383131678,0.498105761,0.49715757,0.495671955,0.348710616,0.426519246,0.135613427,0.128720921,0.53776046,1,0.128438697,0.115030419,0.10948759,0.069117025,0.046428765,0.079727103,0.09613001,0.117290506,0.071200808,0.104367447,0.067857083,0.081385554,0.084902518,0.051973514,0.053371,0.082973061,0.074269689,0.049451445,0.037916642,0.063600258,0.092007536,0.118010121,0.110100673,0.044439056,0.085951049,0.097692345,0.086186421,0.072907409,0.066240521,0.091845494,0.080469242,0.133120347,0.049690945,0.09450898,0.054827813,0.055651459,0.091246363,0.084520512,0.028965866,0.108976402,0.098752799,0.028771751,0.101703237,0.072350569,0.115250017,0.123496697,0.102740028,0.042716733,0.030267029,0.080828714,0.046249176,0.107960219,0.068885118,0.048420089,0.020539906,0.014665623,0.099761521,0.082908126,0.073365181,0.074801654,0.522808471,0.594991357,0.11578601,0.082368613
Depressed_mood,0.404484506,0.38252663,0.458458399,0.349384501,0.338314562,0.462855141,0.396035558,0.440194315,0.659339266,0.538756206,0.375448378,0.712098575,0.428011775,0.636631135,0.587719681,0.471124029,0.479566508,0.573572992,0.43238162,0.225524291,0.248755132,0.221344445,0.35753989,0.254212501,0.30817563,0.287478074,0.245946808,0.549275989,0.39744031,0.313548093,0.372425746,0.340192947,0.637048263,0.422600979,0.328421733,0.508514167,0.468773371,0.306023638,0.402956714,0.328492241,0.369492396,0.311552271,0.305453567,0.314114822,0.655961123,0.490750939,0.641271889,0.392820807,0.549554556,0.306910314,0.683389665,0.617930825,0.380610683,0.436654914,0.45893297,0.505943056,0.407365439,0.598649517,0.612973157,0.538200327,0.516871452,0.816287161,0.747947088,0.704402945,0.49448581,0.700193681,0.51060617,0.589584377,0.467660462,0.449389218,0.450158435,0.565739306,0.637460292,0.860369275,0.543813021,0.446756585,0.264622131,0.20326058,0.263330631,0.40812237,0.252199185,0.328084345,0.327466104,0.260433915,0.313793528,0.197491119,0.209232836,0.290257437,0.234289171,0.175125867,0.128438697,1,0.307901552,0.562914012,0.360861084,0.181008917,0.372187437,0.397707801,0.367696394,0.259681377,0.291281819,0.260650238,0.216328622,0.359812258,0.27725376,0.223190818,0.348020361,0.364415931,0.258190511,0.218222125,0.194149162,0.196471077,0.231878441,0.1593231,0.246443907,0.483053456,0.525097732,0.534283078,0.43652056,0.380028847,0.505325985,0.700901794,0.273463979,0.236268138,0.253235556,0.193672152,0.141972569,0.229728772,0.288331435,0.181245882,0.216268415,0.200066568,0.226451334,0.265747188,0.55230725,0.875630731,0.77466494,0.389080657,0.481229988,0.43073531,0.586122664,0.586124444,0.353440787,0.431472896,0.471367828,0.441872255,0.351309857,0.610646744,0.552146561,0.663866585,0.635117198,0.185743436,0.125822822,0.914356113,0.853019393
Felt__attacked,0.196051244,0.25079015,0.242583413,0.173686955,0.153683124,0.221022378,0.212172533,0.204253739,0.279576994,0.226101302,0.209820522,0.268998637,0.166032778,0.273762591,0.254301859,0.257311881,0.22569936,0.213581179,0.280774741,0.140223874,0.179205329,0.154753065,0.248118974,0.161833893,0.219444623,0.20461221,0.13275347,0.298393458,0.254998626,0.187631359,0.224293337,0.229083876,0.291489128,0.232296538,0.230577738,0.299173494,0.240365669,0.241438971,0.242495127,0.23674915,0.2072776,0.207076067,0.20609454,0.204716299,0.255530668,0.263012078,0.258976332,0.186110933,0.25077312,0.168236677,0.282012197,0.269439089,0.177713206,0.191223826,0.242084439,0.221724489,0.215768729,0.291349786,0.23753294,0.227351984,0.231063334,0.292628756,0.298746178,0.264482388,0.203440811,0.283327,0.190678738,0.269946758,0.232610995,0.177795388,0.224843568,0.294220631,0.334590671,0.277124246,0.226446855,0.245720526,0.148472837,0.124901285,0.195247668,0.177697895,0.170794259,0.17835415,0.158637653,0.1465035,0.158285956,0.139478877,0.139812695,0.207198418,0.159889929,0.14061274,0.115030419,0.307901552,1,0.507199817,0.41374957,0.180619988,0.313525314,0.258964711,0.255955825,0.216967157,0.285915018,0.225551581,0.242338401,0.315342,0.33829961,0.219014656,0.364043922,0.366881523,0.240819668,0.184792572,0.207019665,0.212834325,0.267852384,0.167404704,0.244230914,0.224154143,0.228640429,0.243494059,0.158174165,0.197468291,0.214529284,0.27669086,0.234711937,0.177491563,0.229700255,0.183506836,0.159229428,0.167521183,0.172199856,0.106680562,0.20911605,0.14851591,0.17107677,0.200674133,0.247209476,0.301219748,0.293091963,0.134394641,0.236774158,0.196765298,0.23201221,0.266277922,0.199018963,0.216291787,0.21956618,0.199006398,0.165675011,0.240686665,0.221720321,0.289073674,0.260796086,0.121428308,0.088419675,0.283526428,0.280694147
Paranoia__people_are_against_them_,0.381741587,0.363803164,0.446320721,0.347702004,0.338533415,0.370031552,0.356669035,0.368101555,0.522668862,0.410556733,0.35801512,0.495996983,0.321841474,0.469286788,0.466111844,0.40424975,0.387191446,0.373507203,0.482917521,0.254070467,0.316920458,0.29525916,0.425769661,0.28890976,0.36052116,0.332613133,0.284456339,0.53517965,0.446042742,0.341660346,0.384457246,0.369738881,0.529794021,0.405347184,0.335342048,0.509282668,0.445655356,0.339244886,0.401180777,0.364001977,0.357635477,0.353140768,0.305463601,0.348451611,0.401241262,0.391698922,0.422089919,0.253477663,0.43540173,0.264307191,0.516908494,0.494198465,0.313218079,0.351527309,0.397061656,0.394900294,0.328017587,0.487675477,0.450844822,0.386574503,0.395570498,0.525203733,0.533113022,0.499226327,0.400307916,0.556011022,0.388276922,0.442728979,0.373267111,0.330679719,0.358630104,0.465468881,0.547131299,0.538671595,0.385506724,0.420385361,0.189499307,0.162016194,0.217981332,0.249296809,0.191149216,0.237027304,0.224389377,0.199628628,0.2135133,0.153512316,0.199457605,0.289202018,0.232005198,0.181403131,0.10948759,0.562914012,0.507199817,1,0.544049865,0.272948976,0.467675749,0.412371424,0.403360453,0.341403919,0.436527817,0.299774935,0.291590867,0.463579869,0.404096608,0.266261432,0.536568902,0.541811015,0.362925839,0.28589404,0.304816125,0.322756095,0.396160514,0.28032005,0.356498887,0.402770244,0.402182765,0.410063785,0.337099881,0.298226129,0.391217907,0.530772514,0.321086221,0.274236075,0.285092799,0.248389401,0.151778195,0.246008921,0.259498408,0.173425982,0.235801516,0.205262147,0.233842467,0.272653182,0.373923985,0.539896404,0.491383459,0.25277533,0.375500869,0.335465604,0.42323312,0.453050723,0.305124634,0.355825698,0.364274769,0.355731668,0.284376537,0.436043364,0.411258417,0.56939576,0.508932217,0.14825562,0.080667834,0.508431175,0.510519652
